displ,cyl,drv,cty,hwy,class
,6,f,16,24,subcompact
,6,f,17,24,compact
,4,f,22,31,compact
,4,f,21,29,compact
,4,f,21,30,midsize
,8,r,11,15,suv
,4,4,19,26,subcompact
,8,4,12,18,suv
,8,4,11,15,pickup
6.2,8,r,16,26,2seater
,8,4,11,17,pickup
2.5,4,4,20,27,compact
,6,4,15,20,suv
,8,4,13,19,suv
,4,f,25,32,subcompact
2.5,4,4,20,27,suv
,8,4,,16,suv
2.2,4,4,,26,subcompact
,6,f,,23,minivan
2.8,6,f,,26,compact
4.6,8,4,,16,pickup
4.6,8,4,,17,pickup
5.2,8,4,,16,pickup
3.3,,f,16,22,minivan
3.8,,f,16,23,minivan
2,,4,20,28,compact
2.7,,4,16,20,suv
2.4,,f,19,27,midsize
2,,f,19,26,compact
1.8,,f,24,30,compact
5.2,,,11,15,pickup
2,,,20,28,subcompact
2,,,21,30,compact
5.4,,,14,20,subcompact
4.2,,,12,18,suv
5.4,,,12,18,suv
3.8,,,18,25,subcompact
2.7,,,,20,pickup
7,8,,,24,2seater
4,6,,,17,suv
3.1,6,,,26,midsize
4,6,,,19,suv
4,6,,,17,suv
1.8,4,f,,34,subcompact
5.7,8,4,,18,suv
3.8,6,f,,21,minivan
2.2,4,4,,26,subcompact
4.7,8,4,9,12,suv
4,6,4,13,19,suv
2,4,4,19,27,compact
6.2,8,r,15,25,2seater
2.5,4,4,20,26,suv
3.7,6,4,15,19,suv
5.7,8,4,11,15,suv
5.4,8,r,11,16,suv
3,6,4,17,22,suv
3.5,6,f,19,26,midsize
3.3,6,4,14,17,suv
3,6,f,17,24,minivan
3,6,f,19,25,midsize
5.4,8,4,13,17,pickup
2.7,6,f,17,24,subcompact
4.6,8,4,13,16,pickup
5.9,8,4,11,15,suv
4.7,8,4,12,16,pickup
5,8,4,13,17,suv
3.5,6,f,19,25,midsize
1.8,4,4,18,26,compact
2.5,4,4,19,25,suv
6,8,r,12,17,suv
4,6,4,16,20,suv
4.7,8,4,14,17,suv
3.8,6,f,16,26,midsize
2,4,f,19,29,subcompact
3.4,6,4,15,17,suv
3.5,6,f,19,27,midsize
4,6,4,14,20,suv
